id,country_region,date,total_cases,total_deaths,total_recovered
150,Anguilla,2020-11-30,6.0,0.0,6.0
151,Anguilla,2020-12-31,13.0,0.0,13.0
152,Anguilla,2021-01-31,16.0,0.0,16.0
153,Anguilla,2021-02-28,18.0,0.0,18.0
154,Anguilla,2021-03-31,25.0,0.0,25.0
155,Anguilla,2021-04-30,93.0,0.0,93.0
156,Anguilla,2021-05-31,109.0,0.0,109.0
157,Anguilla,2021-06-30,109.0,0.0,109.0
158,Anguilla,2021-07-31,113.0,0.0,113.0
159,Anguilla,2021-08-31,217.0,0.0,217.0
160,Anguilla,2021-09-30,409.0,1.0,408.0
161,Anguilla,2021-10-31,944.0,1.0,943.0
162,Anguilla,2021-11-30,1386.0,3.0,1383.0
163,Anguilla,2021-12-31,1674.0,5.0,1669.0
164,Anguilla,2022-01-31,2324.0,8.0,2316.0
165,Anguilla,2022-02-28,2555.0,9.0,2546.0
166,Anguilla,2022-03-31,2700.0,9.0,2691.0
167,Anguilla,2022-04-30,2788.0,9.0,2779.0
168,Anguilla,2022-05-14,2984.0,9.0,2975.0
169,Antigua And Barbuda,2020-02-29,0.0,0.0,0.0
170,Antigua And Barbuda,2020-03-31,7.0,0.0,7.0
171,Antigua And Barbuda,2020-04-30,24.0,3.0,21.0
172,Antigua And Barbuda,2020-05-31,26.0,3.0,23.0
173,Antigua And Barbuda,2020-06-30,68.0,3.0,65.0
174,Antigua And Barbuda,2020-07-31,91.0,3.0,88.0
175,Antigua And Barbuda,2020-08-31,94.0,3.0,91.0
176,Antigua And Barbuda,2020-09-30,101.0,3.0,98.0
177,Antigua And Barbuda,2020-10-31,127.0,3.0,124.0
178,Antigua And Barbuda,2020-11-30,141.0,4.0,137.0
179,Antigua And Barbuda,2020-12-31,159.0,5.0,154.0
180,Antigua And Barbuda,2021-01-31,234.0,7.0,227.0
181,Antigua And Barbuda,2021-02-28,730.0,14.0,716.0
182,Antigua And Barbuda,2021-03-31,1136.0,28.0,1108.0
183,Antigua And Barbuda,2021-04-30,1229.0,32.0,1197.0
184,Antigua And Barbuda,2021-05-31,1260.0,42.0,1218.0
185,Antigua And Barbuda,2021-06-30,1263.0,42.0,1221.0
186,Antigua And Barbuda,2021-07-31,1303.0,43.0,1260.0
187,Antigua And Barbuda,2021-08-31,1715.0,44.0,1671.0
188,Antigua And Barbuda,2021-09-30,3231.0,79.0,3152.0
189,Antigua And Barbuda,2021-10-31,4062.0,102.0,3960.0
190,Antigua And Barbuda,2021-11-30,4141.0,117.0,4024.0
191,Antigua And Barbuda,2021-12-31,4283.0,119.0,4164.0
192,Antigua And Barbuda,2022-01-31,6627.0,127.0,6500.0
193,Antigua And Barbuda,2022-02-28,7437.0,135.0,7302.0
194,Antigua And Barbuda,2022-03-31,7491.0,135.0,7356.0
195,Antigua And Barbuda,2022-04-30,7626.0,136.0,7490.0
196,Antigua And Barbuda,2022-05-14,7721.0,137.0,7584.0
197,Argentina,2020-02-29,0.0,0.0,0.0
198,Argentina,2020-03-31,1054.0,72.0,982.0
199,Argentina,2020-04-30,4428.0,572.0,3856.0
200,Argentina,2020-05-31,16851.0,1413.0,15438.0
201,Argentina,2020-06-30,64530.0,3429.0,61101.0
202,Argentina,2020-07-31,191302.0,8506.0,182796.0
203,Argentina,2020-08-31,417735.0,15860.0,401875.0
204,Argentina,2020-09-30,751001.0,20282.0,730719.0
205,Argentina,2020-10-31,1166924.0,31002.0,1135922.0
206,Argentina,2020-11-30,1424533.0,38730.0,1385803.0
207,Argentina,2020-12-31,1625514.0,43245.0,1582269.0
208,Argentina,2021-01-31,1927239.0,47974.0,1879265.0
209,Argentina,2021-02-28,2107365.0,51965.0,2055400.0
210,Argentina,2021-03-31,2348821.0,55858.0,2292963.0
211,Argentina,2021-04-30,2977363.0,63865.0,2913498.0
212,Argentina,2021-05-31,3781784.0,78093.0,3703691.0
213,Argentina,2021-06-30,4470374.0,94304.0,4376070.0
214,Argentina,2021-07-31,4929764.0,105721.0,4824043.0
215,Argentina,2021-08-31,5185620.0,111812.0,5073808.0
216,Argentina,2021-09-30,5256902.0,115179.0,5141723.0
217,Argentina,2021-10-31,5288807.0,115950.0,5172857.0
218,Argentina,2021-11-30,5330748.0,116589.0,5214159.0
219,Argentina,2021-12-31,5654408.0,117169.0,5537239.0
220,Argentina,2022-01-31,8378656.0,121273.0,8257383.0
221,Argentina,2022-02-28,8900656.0,126152.0,8774504.0
222,Argentina,2022-03-31,9037911.0,128019.0,8909892.0
223,Argentina,2022-04-30,9082649.0,128640.0,8954009.0
224,Argentina,2022-05-14,9101319.0,128729.0,8972590.0
225,Armenia,2020-02-29,0.0,0.0,0.0
226,Armenia,2020-03-31,532.0,3.0,529.0
227,Armenia,2020-04-30,2066.0,32.0,2034.0
228,Armenia,2020-05-31,9282.0,131.0,9151.0
229,Armenia,2020-06-30,25542.0,443.0,25099.0
230,Armenia,2020-07-31,38550.0,738.0,37812.0
231,Armenia,2020-08-31,43781.0,879.0,42902.0
232,Armenia,2020-09-30,50359.0,959.0,49400.0
233,Armenia,2020-10-31,89813.0,1341.0,88472.0
234,Armenia,2020-11-30,135124.0,2164.0,132960.0
235,Armenia,2020-12-31,159409.0,2823.0,156586.0
236,Armenia,2021-01-31,167026.0,3080.0,163946.0
237,Armenia,2021-02-28,172058.0,3192.0,168866.0
238,Armenia,2021-03-31,192639.0,3515.0,189124.0
239,Armenia,2021-04-30,216064.0,4108.0,211956.0
240,Armenia,2021-05-31,222670.0,4438.0,218232.0
241,Armenia,2021-06-30,225095.0,4514.0,220581.0
242,Armenia,2021-07-31,230110.0,4614.0,225496.0
243,Armenia,2021-08-31,242135.0,4844.0,237291.0
244,Armenia,2021-09-30,261697.0,5319.0,256378.0
245,Armenia,2021-10-31,308326.0,6328.0,301998.0
246,Armenia,2021-11-30,338518.0,7567.0,330951.0
247,Armenia,2021-12-31,344930.0,7972.0,336958.0
248,Armenia,2022-01-31,367795.0,8053.0,359742.0
249,Armenia,2022-02-28,419832.0,8461.0,411371.0
250,Armenia,2022-03-31,422519.0,8613.0,413906.0
251,Armenia,2022-04-30,422867.0,8622.0,414245.0
252,Armenia,2022-05-14,422896.0,8623.0,414273.0
253,Aruba,2020-02-29,0.0,0.0,0.0
254,Aruba,2020-03-31,55.0,0.0,55.0
255,Aruba,2020-04-30,100.0,2.0,98.0
256,Aruba,2020-05-31,101.0,3.0,98.0
257,Aruba,2020-06-30,103.0,3.0,100.0
258,Aruba,2020-07-31,121.0,3.0,118.0
259,Aruba,2020-08-31,2006.0,10.0,1996.0
260,Aruba,2020-09-30,3963.0,27.0,3936.0
261,Aruba,2020-10-31,4513.0,38.0,4475.0
262,Aruba,2020-11-30,4845.0,45.0,4800.0
263,Aruba,2020-12-31,5489.0,49.0,5440.0
264,Aruba,2021-01-31,6966.0,59.0,6907.0
265,Aruba,2021-02-28,7891.0,73.0,7818.0
266,Aruba,2021-03-31,9443.0,86.0,9357.0
267,Aruba,2021-04-30,10638.0,99.0,10539.0
268,Aruba,2021-05-31,10985.0,107.0,10878.0
269,Aruba,2021-06-30,11138.0,107.0,11031.0
270,Aruba,2021-07-31,11730.0,110.0,11620.0
271,Aruba,2021-08-31,14576.0,146.0,14430.0
272,Aruba,2021-09-30,15500.0,166.0,15334.0
